X,T
6.61744e-18, 310.174
0.0184548, 310.174
0.0427062, 310.174
0.713599, 310.174
0.863536, 310.174
1.18445, 310.174
1.20807, 310.174
1.56832, 310.174
1.71085, 310.174
1.888, 310.175
1.91154, 310.175
2.17007, 310.175
2.38956, 310.175
2.49522, 310.175
2.51177, 310.175
2.80467, 310.176
2.8235, 310.176
2.84773, 310.176
2.86623, 310.176
2.88435, 310.176
3.22476, 310.176
3.6959, 310.177
3.72094, 310.177
3.73052, 310.177
3.73152, 310.177
3.75188, 310.177
3.80351, 310.177
4.27225, 310.178
4.29388, 310.178
4.4577, 310.179
4.79792, 310.18
5.09541, 310.18
5.12079, 310.18
5.2133, 310.181
5.24142, 310.181
5.61883, 310.182
5.79266, 310.182
6.04619, 310.183
6.31789, 310.184
6.33214, 310.184
6.36147, 310.184
6.57423, 310.185
7.11628, 310.187
7.25993, 310.188
7.28773, 310.188
7.45203, 310.189
7.48121, 310.189
7.9786, 310.191
7.99248, 310.191
8.42894, 310.193
8.63268, 310.195
8.64118, 310.195
8.87926, 310.196
8.91891, 310.196
9.33926, 310.199
9.3556, 310.199
9.7224, 310.201
9.93788, 310.202
10.0886, 310.203
10.1042, 310.204
10.121, 310.204
10.5473, 310.207
10.7242, 310.208
11.2329, 310.212
11.2544, 310.212
11.2771, 310.213
11.3225, 310.213
11.3934, 310.214
11.7795, 310.217
11.7875, 310.217
11.9151, 310.218
11.9551, 310.218
11.9988, 310.219
12.3291, 310.222
12.6318, 310.225
12.9005, 310.228
13.1312, 310.23
13.1838, 310.231
13.4099, 310.234
13.7934, 310.238
13.8984, 310.239
13.9178, 310.24
14.0079, 310.241
14.5002, 310.247
14.8071, 310.252
14.9565, 310.254
14.9821, 310.254
15.1256, 310.256
15.4573, 310.261
15.4799, 310.262
15.7013, 310.265
16.0265, 310.271
16.3236, 310.276
16.3437, 310.276
16.4908, 310.279
16.8232, 310.285
16.8734, 310.286
16.8743, 310.286
16.8746, 310.286
16.8842, 310.286
16.8973, 310.287
16.8995, 310.287
17.5532, 310.3
17.6718, 310.303
17.9363, 310.309
18.3169, 310.318
18.3393, 310.318
18.5029, 310.322
18.5223, 310.323
19.1119, 310.338
19.1344, 310.339
19.3215, 310.344
19.7029, 310.355
19.9533, 310.362
19.9779, 310.363
20.0766, 310.366
20.3354, 310.375
20.4088, 310.377
20.7977, 310.39
20.8126, 310.391
21.3653, 310.411
21.459, 310.414
21.4753, 310.415
21.4979, 310.416
21.5215, 310.417
22.0285, 310.438
22.0302, 310.438
22.0427, 310.438
22.0466, 310.439
22.0467, 310.439
22.0579, 310.439
22.5117, 310.459
22.6497, 310.465
22.6555, 310.466
22.692, 310.467
23.2866, 310.497
23.3022, 310.497
23.305, 310.498
23.9018, 310.53
23.9728, 310.534
23.9975, 310.536
24.0977, 310.542
24.6219, 310.574
24.6347, 310.575
24.798, 310.586
24.8155, 310.587
25.2729, 310.618
25.2925, 310.619
25.3124, 310.621
25.4032, 310.628
25.4572, 310.632
25.9099, 310.667
25.998, 310.674
26.0136, 310.675
26.1399, 310.686
26.3472, 310.703
26.497, 310.717
26.5161, 310.719
26.8127, 310.746
27.3776, 310.803
27.401, 310.805
27.4234, 310.807
27.4445, 310.81
27.4979, 310.816
27.9024, 310.862
28.1687, 310.895
28.1898, 310.897
28.4064, 310.926
28.4247, 310.928
28.7933, 310.981
28.8253, 310.986
29.0285, 311.016
29.235, 311.052
29.5184, 311.103
29.5517, 311.109
29.5885, 311.117
29.5914, 311.117
29.6112, 311.122
29.7828, 311.162
29.7995, 311.166
29.8053, 311.168
29.8357, 311.18
29.91, 311.21
30, 311.245
30.0391, 311.245
30.0902, 311.246
30.1189, 311.246
30.1233, 311.246
30.1263, 311.246
30.1316, 311.246
30.1685, 311.246
30.1847, 311.247
30.1954, 311.247
30.2528, 311.247
30.2545, 311.247
30.2571, 311.247
30.2882, 311.248
30.3239, 311.248
30.3481, 311.249
30.3502, 311.249
30.3839, 311.249
30.4036, 311.249
30.4308, 311.25
30.4666, 311.25
30.4896, 311.251
30.5282, 311.251
30.5584, 311.252
30.5595, 311.252
30.5598, 311.252
30.6022, 311.253
30.622, 311.253
30.6383, 311.253
30.6547, 311.253
30.6846, 311.254
30.7284, 311.255
30.7479, 311.255
30.7752, 311.256
30.8059, 311.256
30.8242, 311.256
30.8482, 311.257
30.8871, 311.258
30.9132, 311.258
30.9347, 311.259
30.9576, 311.259
30.9724, 311.259
30.9974, 311.26
31.0154, 311.26
31.0521, 311.261
31.0755, 311.261
31.0773, 311.261
31.0822, 311.262
31.1183, 311.262
31.1615, 311.263
31.167, 311.263
31.1991, 311.264
31.2175, 311.264
31.2548, 311.265
31.2622, 311.265
31.2993, 311.266
31.308, 311.266
31.3584, 311.267
31.3684, 311.268
31.3815, 311.268
31.4028, 311.268
31.4401, 311.269
31.4475, 311.269
31.452, 311.27
31.4927, 311.27
31.5068, 311.271
31.5158, 311.271
31.5422, 311.272
31.5513, 311.272
31.5638, 311.272
31.5975, 311.273
31.6454, 311.274
31.6729, 311.275
31.6952, 311.275
31.743, 311.276
31.7582, 311.277
31.7757, 311.277
31.824, 311.278
31.8405, 311.279
31.8431, 311.279
31.8864, 311.28
31.9186, 311.281
31.9201, 311.281
31.9211, 311.281
31.9684, 311.282
31.9783, 311.282
32.002, 311.283
32.0287, 311.284
32.0608, 311.284
32.0689, 311.285
32.1195, 311.286
32.1329, 311.286
32.1391, 311.286
32.1569, 311.287
32.2043, 311.288
32.2116, 311.288
32.2529, 311.29
32.2853, 311.29
32.298, 311.291
32.3245, 311.291
32.3379, 311.292
32.3782, 311.293
32.4063, 311.294
32.4238, 311.294
32.472, 311.296
32.4775, 311.296
32.4923, 311.296
32.5069, 311.297
32.5186, 311.297
32.5323, 311.297
32.5581, 311.298
32.5752, 311.299
32.589, 311.299
32.6236, 311.3
32.6352, 311.3
32.6436, 311.3
32.6732, 311.301
32.6919, 311.302
32.7327, 311.303
32.7407, 311.303
32.7892, 311.305
32.7996, 311.305
32.8149, 311.306
32.8398, 311.306
32.873, 311.307
32.8898, 311.308
32.9114, 311.308
32.9443, 311.309
32.9508, 311.31
32.9844, 311.311
32.9899, 311.311
33.0202, 311.312
33.0429, 311.312
33.0571, 311.313
33.0771, 311.314
33.1005, 311.314
33.1141, 311.315
33.1511, 311.316
33.1694, 311.316
33.2235, 311.318
33.2451, 311.319
33.2536, 311.319
33.2708, 311.32
33.2898, 311.32
33.3237, 311.321
33.3274, 311.321
33.362, 311.323
33.3899, 311.324
33.3919, 311.324
33.3962, 311.324
33.4237, 311.325
33.433, 311.325
33.4882, 311.327
33.4968, 311.327
33.5256, 311.328
33.5512, 311.329
33.5665, 311.329
33.5813, 311.33
33.6019, 311.331
33.6478, 311.332
33.6627, 311.333
33.6917, 311.334
33.7345, 311.335
33.7473, 311.336
33.7632, 311.336
33.7881, 311.337
33.7998, 311.337
33.8604, 311.339
33.8811, 311.34
33.9054, 311.341
33.9239, 311.342
33.9655, 311.343
33.9718, 311.343
34.0025, 311.344
34.0027, 311.344
34.0027, 311.344
34.003, 311.344
34.0352, 311.346
34.0675, 311.347
34.0738, 311.347
34.0936, 311.348
34.1256, 311.349
34.1589, 311.35
34.2074, 311.352
34.2115, 311.352
34.2552, 311.354
34.2796, 311.355
34.3009, 311.355
34.3434, 311.357
34.3474, 311.357
34.3489, 311.357
34.3793, 311.358
34.4169, 311.36
